"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"СГНЛ"	"LСГНЛ"	"VAL"
"Численность населения на начало периода(Человек)"	"2024 год"	"202412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"445 712"
"Численность населения на начало периода(Человек)"	"2021 год"	"202112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"349 320"
"Численность населения на начало периода(Человек)"	"2015 год"	"201512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"347 353"
"Численность населения на начало периода(Человек)"	"2011 год"	"201112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"342 449"
"Численность населения на начало периода(Человек)"	"2016 год"	"201612"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"351 228"
"Численность населения на начало периода(Человек)"	"2010 год"	"201012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"342 340"
"Численность населения на начало периода(Человек)"	"2012 год"	"201212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"341 776"
"Численность населения на начало периода(Человек)"	"2013 год"	"201312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"344 254"
"Численность населения на начало периода(Человек)"	"2014 год"	"201412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"346 400"
"Численность населения на начало периода(Человек)"	"2025 год"	"202512"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"450 271"
"Численность населения на начало периода(Человек)"	"2017 год"	"201712"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"385 677"
"Численность населения на начало периода(Человек)"	"2004 год"	"200412"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"сельская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"399 777"
